#TKE[MeV]   range[mm] using Am241:110=16O:220=9.012Be:890 for 4He
5.48556 0.03639234
5.44280 0.03599291
5.25    0.03421521
5.00    0.03196677
4.75    0.02977886
4.50    0.02765738
4.25    0.02560231
4.00    0.02361367
3.75    0.02169082
3.50    0.01983618
3.25    0.01805069
3.00    0.01633488
2.75    0.01469034
2.50    0.01311755
2.25    0.01161753
2.00    0.01019046
1.75    0.00883645
1.50    0.00755425
1.25    0.00634082
1.00    0.0051896
0.75    0.00408759
0.50    0.00300378
0.25    0.00185427
0.10    0.00101744
